Country,City,Year,Station Type,PM10,PM10 Type,PM2.5,PM2.5 Type,Reference,LAT,LNG,OpenAQ
Viet Nam,Ha Long,2014,1 N.A.,48,Measured,22.46916183,Converted,Government of Viet Nam,20.910051,107.183902,No
Viet Nam,Ha Long,2015,1 N.A.,47,Measured,22.0010543,Converted,Government of Viet Nam,20.910051,107.183902,No
Viet Nam,Ha Noi,2011,1 N.A.,46,Measured,21.53294676,Converted,Government of Viet Nam,21.027764,105.83416,Yes
Viet Nam,Ha Noi,2012,1 N.A.,47,Measured,22.0010543,Converted,Government of Viet Nam,21.027764,105.83416,Yes
Viet Nam,Ha Noi,2013,1 N.A.,44,Measured,20.59673168,Converted,Government of Viet Nam,21.027764,105.83416,Yes
Viet Nam,Ha Noi,2014,1 N.A.,51,Measured,23.87348445,Converted,Government of Viet Nam,21.027764,105.83416,Yes
Viet Nam,Ha Noi,2015,1 N.A.,49,Measured,22.93726937,Converted,Government of Viet Nam,21.027764,105.83416,Yes
Viet Nam,Ha Noi,2016,1 Urban,102.3407706,Converted,47.9064862,Measured,AirNow DOS,21.02163,105.818933,Yes
Viet Nam,Ho Chi Minh City,2016,1 Urban,89.8126297,Converted,42.04196899,Measured,AirNow DOS,10.783361,106.700866,Yes
Viet Nam,Hue,2013,1 N.A.,21,Measured,9.830258303,Converted,Government of Viet Nam,16.463712,107.590863,No
Viet Nam,Hue,2014,1 N.A.,16,Measured,7.489720611,Converted,Government of Viet Nam,16.463712,107.590863,No
Viet Nam,Hue,2015,1 N.A.,15,Measured,7.021613073,Converted,Government of Viet Nam,16.463712,107.590863,No
Viet Nam,Nha Trang,2012,1 N.A.,13,Measured,6.085397997,Converted,Government of Viet Nam,12.238791,109.196749,No
Viet Nam,Nha Trang,2013,1 N.A.,30,Measured,14.04322615,Converted,Government of Viet Nam,12.238791,109.196749,No
Viet Nam,Nha Trang,2014,1 N.A.,12,Measured,5.617290459,Converted,Government of Viet Nam,12.238791,109.196749,No
Viet Nam,Nha Trang,2015,1 N.A.,14,Measured,6.553505535,Converted,Government of Viet Nam,12.238791,109.196749,No
Viet Nam,Viet Tri,2013,1 N.A.,27,Measured,12.63890353,Converted,Government of Viet Nam,21.35701,105.352633,No
Viet Nam,Viet Tri,2014,1 N.A.,22,Measured,10.29836584,Converted,Government of Viet Nam,21.35701,105.352633,No
