country,city,location,sourceNames,count,firstUpdated,lastUpdated
IN,Howrah,Howrah - WBPCB,CPCB,1600,2017-11-07,2017-11-07
IN,Howrah,"Padmapukur, Howrah - WBSPCB",CPCB,588,2018-01-17,2018-01-19
IN,Howrah,"Ghusuri, Howrah - WBPCB",caaqm,41486,2018-05-09,2019-02-14
IN,Howrah,Howrah - WBSPCB,CPCB,48371,2016-06-26,2017-11-07
IN,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",caaqm,5818,2018-10-03,2019-02-03
IN,Hyderabad,Bollaram Industrial Area,CPCB,25,2017-02-16,2017-02-17
IN,Hyderabad,ICRISAT Patancheru,CPCB,228,2017-02-15,2017-02-17
IN,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB","data.gov.in, CPCB, caaqm",85104,2017-02-17,2019-02-14
IN,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","data.gov.in, CPCB, caaqm",126645,2017-02-17,2019-02-14
IN,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","CPCB, caaqm, data.gov.in",74213,2017-06-19,2019-02-14
IN,Hyderabad,"IDA Pashamylaram,Hyderabad",CPCB,53,2016-09-20,2016-09-20
IN,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","data.gov.in, caaqm, CPCB",160756,2016-09-20,2019-02-14
IN,Hyderabad,"Centeral University, Hyderabad - TSPCB",CPCB,18,2017-06-20,2017-06-20
IN,Hyderabad,Hyderabad Centeral Univercity,CPCB,1830,2017-06-13,2017-06-20
IN,Hyderabad,"Central University, Hyderabad - TSPCB","data.gov.in, CPCB, caaqm",93278,2017-06-20,2019-02-14
IN,Hyderabad,"ZooPark, Hyderabad - TSPCB",CPCB,25548,2017-06-20,2018-02-22
IN,Hyderabad,Sanathnagar - Hyderabad - TSPCB,CPCB,45595,2016-03-22,2017-06-20
IN,Hyderabad,ZooPark,CPCB,94277,2016-03-21,2017-06-20
IN,Hyderabad,"Zoo Park, Hyderabad - TSPCB","data.gov.in, caaqm",35816,2018-03-09,2019-02-14
IN,Hyderabad,US Diplomatic Post: Hyderabad,StateAir_Hyderabad,26429,2015-12-11,2019-04-14
IN,Jaipur,"Shastri Nagar, Jaipur - RSPCB","data.gov.in, caaqm",47153,2018-03-09,2019-02-14
IN,Jaipur,VK Industrial Area Jaipur - RSPCB,CPCB,111381,2016-03-21,2017-06-12
IN,Jaipur,"Police Commissionerate, Jaipur- RSPCB",CPCB,16903,2017-10-24,2018-02-22
IN,Jaipur,"Shastri Nagar,Jaipur- RSPCB",CPCB,6,2017-10-24,2017-10-24
IN,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","data.gov.in, caaqm",18996,2018-03-09,2019-02-14
